"PPLOT","ht_mean","ht_med","ht_dev","dbh_mean","dbh_med","dbh_dev","cod","dom","count","time"
4,14.448,14.3,2.26633498973878,25.8533333333333,24.1,9.65999605639277,9,6,15,86
4,NA,NA,NA,NA,NA,NA,0,0,0,87
4,15.1627603094615,15.552031492,2.37163005047107,30.5846153846154,29.3,8.67446887460035,6,7,13,98
4,13.2872727272727,13.55,4.67276597083374,30.6454545454545,29.1,7.94712069071102,8,3,11,10
5,13.4745,13.85,2.1456332030674,21.875,20.65,8.37822208246821,13,7,20,86
5,NA,NA,NA,NA,NA,NA,0,0,0,87
5,15.261481190625,15.641712096,2.07283279455445,25.61875,24.9,7.75974387463916,13,3,16,98
5,16.019,15.655,2.10217057136454,29.69,28.9,8.16325779194666,8,2,10,10
6,13.1909090909091,13.55,2.85896402997228,19.7,18.65,9.31700953453771,16,6,22,86
6,NA,NA,NA,NA,NA,NA,0,0,0,87
6,13.6033019150909,13.5,2.92379916001013,20.4363636363636,20.6,6.32238447538153,9,2,11,98
6,15.98,15.55,2.79132096457443,27.525,25,11.4997331984861,10,2,12,10
7,11.6204,11.7,1.62089539377192,16.822,16.35,4.07267098837996,38,12,50,86
7,NA,NA,NA,NA,NA,NA,0,0,0,87
7,11.7513513513514,11.7,1.41020519027505,18.9351351351351,18.4,4.0934375812062,34,3,37,98
7,11.6675,11.38,1.1195375320704,19.9875,19.35,3.56307952679781,6,2,8,10
8,12.8965454545455,12.5,1.81984657287958,16.0309090909091,14.3,6.23989175853629,49,6,55,86
8,NA,NA,NA,NA,NA,NA,0,0,0,87
8,13.4387400501538,13.2,2.24879935918369,18.6846153846154,16.3,7.00682143048504,32,7,39,98
8,16.154,14.3,3.50037569412199,23.84,20.1,10.5744030564378,4,1,5,10
9,10.3990909090909,10.2,2.74504025885364,17.5909090909091,15.3,7.14393814871932,26,7,33,86
9,NA,NA,NA,NA,NA,NA,0,0,0,87
9,12.4304347826087,11.7,2.28362446813447,21.8347826086957,19.1,7.87381210063127,13,10,23,98
9,8.21,7.81,1.16279834881204,12.3333333333333,12.3,0.351188458428424,3,0,3,10
10,12.6304255319149,12.8,1.62162017405407,15.4297872340426,14.4,4.88270750326519,42,5,47,86
10,NA,NA,NA,NA,NA,NA,0,0,0,87
10,13.6319234978462,13.1,2.04216445985035,18.2923076923077,16.95,4.31619490541593,21,5,26,98
10,12.7933333333333,12.945,1.55299905363978,17.3333333333333,16,6.10623129320046,12,0,12,10
11,12.4741509433962,12.3,1.92604760101959,15.1867924528302,14.8,4.41078388881025,42,11,53,86
11,NA,NA,NA,NA,NA,NA,0,0,0,87
11,12.9909090909091,13,1.78594576421774,17.1060606060606,15.7,4.54298493517336,27,6,33,98
11,9.305,8.585,2.12209465252748,11.9,10,4.53179245521492,7,1,8,10
12,12.1453571428571,12.05,1.40977140816532,14.7107142857143,14.55,3.36785889623861,21,7,28,86
12,NA,NA,NA,NA,NA,NA,0,0,0,87
12,12.6090909090909,12.35,1.54360167500499,15.8204545454545,15.35,3.60100628994333,39,5,44,98
12,12.8166666666667,12.275,1.2180187588743,17.2083333333333,16.9,2.08128384038372,12,0,12,10
13,5.92262773722628,5.86,1.28326804205295,9.42262773722628,8.9,3.00382091727329,107,30,137,86
13,NA,NA,NA,NA,NA,NA,0,0,0,87
13,7.10425531914894,7,1.07051539126179,11.3521276595745,10.8,2.86509316868548,74,20,94,98
13,7.94222222222222,7.62,1.22233891302726,13.4333333333333,12.95,3.17693896329007,16,2,18,10
14,5.704,5.57,0.453795107950714,9.62,9.1,1.46867287031524,5,0,5,86
14,NA,NA,NA,NA,NA,NA,0,0,0,87
14,7.56,7.5,1.17303026388921,12.3964705882353,12,2.57341939740843,70,15,85,98
14,8.72473684210526,8.55,1.51691707977087,14.5736842105263,12.9,3.47816076959954,19,0,19,10
15,8.33478260869565,8.5,1.72932164726051,13.3391304347826,13.1,3.96240734109441,20,3,23,86
15,NA,NA,NA,NA,NA,NA,0,0,0,87
15,9.2,9.8,1.97142080743813,17.0829268292683,16.8,4.42989291287184,25,16,41,98
15,10.196,10.23,1.28260325553583,18.9,18.15,4.83620604284897,10,0,10,10
16,NA,NA,NA,NA,NA,NA,0,0,0,86
16,13.6333333333333,13,1.5502687938978,20.5,25,8.40773453434396,0,3,3,87
16,13.6625,13.65,2.20213582095043,21.4125,19.25,6.69557365143115,17,7,24,98
16,13.336,13.36,0.295854694064501,21.14,21.4,1.73867765845196,5,0,5,10
17,NA,NA,NA,NA,NA,NA,0,0,0,86
17,14.85,15,2.18528134240297,22.7916666666667,22.7,5.54116140325922,7,5,12,87
17,16.5723562477895,16.26783341,1.69470997041162,26.6684210526316,25.4,6.72268569278503,17,2,19,98
17,18.3283333333333,18.99,1.94415448631704,27.9666666666667,23.1,11.8924625989181,6,0,6,10
18,NA,NA,NA,NA,NA,NA,0,0,0,86
18,11.47,11.25,1.82516361519241,14.65,11.9,5.60322327871299,9,1,10,87
18,13.4852100463333,13.4,1.42339140159287,20.2818181818182,19,4.74212864554612,27,6,33,98
18,11.4242857142857,10.92,2.31299846622558,20.4142857142857,19.3,8.1401123193374,7,0,7,10
19,NA,NA,NA,NA,NA,NA,0,0,0,86
19,10.975,11.05,0.57373048260195,19.5,19.5,2.20454076850486,4,0,4,87
19,12.9282051282051,12.8,1.3703531465607,19.4846153846154,18.6,5.80759658874924,32,7,39,98
19,12.7971428571429,12.91,1.89638001013962,20.6857142857143,19.9,5.57895706245907,7,0,7,10
20,NA,NA,NA,NA,NA,NA,0,0,0,86
20,11.2833333333333,11.05,1.07594919334821,19.2666666666667,17.45,5.90005649690464,6,0,6,87
20,13.1058823529412,13.1,1.81340817188546,20.85,19.25,5.47043015316036,29,5,34,98
20,14.925,15.06,0.430619708482244,20.4,19.35,3.20104149717973,4,0,4,10
21,NA,NA,NA,NA,NA,NA,0,0,0,86
21,13.8,15.1,3.15753068076939,23.8,26,6.86949779823824,1,2,3,87
21,14.248307584963,14.4,1.93243547530648,22.6148148148148,20.9,5.67455208016821,19,8,27,98
21,11.992,13.6,3.24488366509494,20.86,20.1,6.90166646542703,4,1,5,10
22,NA,NA,NA,NA,NA,NA,0,0,0,86
22,14.8,14.05,2.24410338442773,26.2166666666667,24.6,6.40575262296841,0,6,6,87
22,12.2521739130435,11.5,2.73593420395657,21.104347826087,21,6.22293983878634,15,8,23,98
22,13.3277777777778,12.48,2.58863273649323,24.2111111111111,21.8,7.79157308321696,7,2,9,10
23,NA,NA,NA,NA,NA,NA,0,0,0,86
23,14.8,14.75,2.31948270094864,26.45,26.15,5.39166022668343,2,2,4,87
23,11.5166666666667,11.15,2.9015238375223,21.9541666666667,21.7,6.32867725493262,18,6,24,98
23,13.2266666666667,13.3,2.00175589587409,22.1666666666667,23.15,2.20333081189972,6,0,6,10
24,NA,NA,NA,NA,NA,NA,0,0,0,86
24,12.34,13,1.47580486514986,23.58,20.2,7.54665488809446,4,1,5,87
24,12.3384615384615,12.6,2.01952012578769,17.4,16.55,5.553665456255,21,5,26,98
24,10.9275,10.64,1.51634154024305,17.05,17.9,5.39783907380228,2,2,4,10
25,NA,NA,NA,NA,NA,NA,0,0,0,86
25,5.725,5.75,0.170782512765993,8.7,8.7,0.439696865275764,4,0,4,87
25,8.00215053763441,7.8,1.19154434815236,11.8516129032258,11,4.08586143605168,80,13,93,98
25,8.83904761904762,8.71,1.38798020433256,13.9142857142857,13.3,3.72200023029093,17,4,21,10
26,NA,NA,NA,NA,NA,NA,0,0,0,86
26,10.925,11.5,1.72108769594779,19.5875,19.6,4.59205447329562,3,5,8,87
26,10.8033333333333,10.2,1.8227458130114,20.33,20.4,5.30108316843083,22,8,30,98
26,10.405,10.34,1.62084854320199,21.4333333333333,19.75,6.82720049996092,5,1,6,10
27,NA,NA,NA,NA,NA,NA,0,0,0,86
27,10.95,11.5,1.33229125944742,18.95,18.2,5.71025393480885,6,0,6,87
27,11.7346153846154,11.7,1.68616542668679,21.3153846153846,21.35,4.76098244547844,20,6,26,98
27,11.5716666666667,10.945,1.69042499587135,25.7,26.15,4.07774447458396,6,0,6,10
